vendor,quote_number,total2,requisition_number,requisition_date,po_number,po_date,VENDOR INVOICE REQUESTED DATE,RECEIVED INVOICE DATE,invoice_number,invoice_date,received_date,sent_to_ap_date,notes,status,URL
KELLY SYSTEMS INC,Quote - Repairs 12/17/2024,$516.00,FPO0089434,12/17/2024,728047288,12/19/2024,12/19/2024,,,,,,,PO,FPO0089434 | Facilities Requisition | ServiceNow (service-now.com)
KELLY SYSTEMS INC,Quote - New Carrier Order 12/17/2024,$471.25,FPO0089439,12/17/2024,728047287,12/19/2024,12/19/2024,,,,,,,PO,FPO0089439 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$5,559.16 ",FPO0089913,12/26/2024,728047408,12/27/2024,,12/26/2024,66425,12/24/2024,,,,PO,FPO0089913 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,Project: Domestic Pump 2 Pressure Regulating Valves,"$12,460.00",FPO0088910,12/9/2024,,,,,,,,,,Quote,FPO0088910 | Facilities Requisition | ServiceNow (service-now.com)
KLENZOID INC,Quarterly inspections & maintenance ,"$3,333.08 Q4 @$833.27",FPO0090168,1/3/2025,,,,,,,,,December 2024 Renewal,Quote,FPO0090168 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,Project: Domestic Pump 2 Pressure Regulating Valves,"$12,460.00",FPO0088910,12/9/2024,,,,,,,,,,Quote,FPO0088910 | Facilities Requisition | ServiceNow (service-now.com)
LOCKATONG ENGINEERING INC,2025 Permit Compliance,"$4,000.00",FPO0089697,12/20/2024,,,,,,,,,,Quote,FPO0089697 | Facilities Requisition | ServiceNow (service-now.com)
LIMBACH COMPANY LLC,Quote/Proposal # P16304,"$2,030.00",FPO0089858,12/24/2024,728047381,12/26/2024,,,,,,,,Quote,FPO0089858 | Facilities Requisition | ServiceNow (service-now.com)
LABOV SUPPLY CO INC,Quote #S1556688,$955.36,FPO0089991,12/30/2024,,,,,,,,,,Quote,FPO0089991 | Facilities Requisition | ServiceNow (service-now.com)
MMSR LLC,Snow Removal 2024-2025,"$169,940.00",FPO0084565,10/1/2024,728046277,10/16/2024,,,,,,,Recvd event 12/20/2024 INV#1243,Received,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3Dd899e960db0152d45d3ac3481396196b%26sysparm_view%3DAssetUser%26sysparm_record_target%3Dx_nuvo_eam_facilities_purchase_order%26sysparm_record_row%3D1%26sysparm_record_rows%3D1%26sysparm_record_list%3Dsys_created_by%253Djavascript%253Ags.getUserName%2528%2529%255EnumberSTARTSWITHFPO0084565%255EORDERBYDESCsys_created_on
Grainger,Grainger Order 12/3/2024,$570.56,FPO0088615,12/3/2024,728047051,12/5/2024,,,,,,,Complete Order Received as of 12/10/2024,Received,FPO0088615 | Facilities Requisition | ServiceNow (service-now.com)
UNION ELECTRIC CONTRACTING CO,UECCO ESTIMATE #240936,"$4,305.00",FPO0089092,12/11/2024,728047245,12/16/2024,12/17/2024,1/13/2025,206794-60170-1,1/13/2025,1/13/2025,,,Received,FPO0089092 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,Grainger Order 12/17/2024,$148.60,FPO0089468,12/17/2024,728047314,12/20/2024,,,,,12/23/2024,,Complete Order Received  ,Received,FPO0089468 | Facilities Requisition | ServiceNow (service-now.com)
MMSR LLC,Snow Removal 2024-2025,"$169,940.00",FPO0084565,10/1/2024,728046277,10/16/2024,,,,,,,Recvd event 12/20/2024 INV#1243,Received,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3Dd899e960db0152d45d3ac3481396196b%26sysparm_view%3DAssetUser%26sysparm_record_target%3Dx_nuvo_eam_facilities_purchase_order%26sysparm_record_row%3D1%26sysparm_record_rows%3D1%26sysparm_record_list%3Dsys_created_by%253Djavascript%253Ags.getUserName%2528%2529%255EnumberSTARTSWITHFPO0084565%255EORDERBYDESCsys_created_on
Grainger,Grainger Order 12/3/2024,$570.56,FPO0088615,12/3/2024,728047051,12/5/2024,,,,,,,Complete Order Received as of 12/10/2024,Received,FPO0088615 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,Grainger Order 12/17/2024,$148.60,FPO0089468,12/17/2024,728047314,12/20/2024,,,,,12/23/2024,,Complete Order Received  ,Received,FPO0089468 | Facilities Requisition | ServiceNow (service-now.com)
