vendor,quote_number,total2,requisition_number,requisition_date,po_number,po_date,VENDOR INVOICE REQUESTED DATE,RECEIVED INVOICE DATE,invoice_number,invoice_date,received_date,sent_to_ap_date,notes,status,URL
BLEJWAS ASSOCIATES INC,Quote # 241124MRMHWF,$397.00,FPO0088049,11/21/2024,728046855,11/22/2024,11/22/2024,12/9/2024,0079578-IN,12/5/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088049 | Facilities Requisition | ServiceNow (service-now.com)
PURE WATER TECHNOLOGY OF CENTE,Contract,,FPO0079196,7/9/2024,728045014,7/10/2024,,12/2/2024,242886,12/1/2024,12/2/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0079196 | Facilities Requisition | ServiceNow (service-now.com)
MED PAT INN-PHONE,Quote # SQ-241121-0031061,$392.70,FPO0088551,12/3/2024,728047045,12/5/2024,12/6/2024,12/13/2024,INV-241206-0140641,12/6/2024,12/16/2024,12/16/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088551 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,,FPO0088560,12/3/2024,728047046,12/5/2024,,12/3/2024,66287,11/30/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088560 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,,FPO0088563,12/3/2024,728047015,12/3/2024,,12/3/2024,66288,11/30/2024,12/3/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088563 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,,FPO0088578,12/3/2024,728047047,12/5/2024,,12/3/2024,66289,11/30/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088578 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,,FPO0088581,12/3/2024,728047048,12/5/2024,,12/3/2024,66290,11/30/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088581 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,,FPO0088584,12/3/2024,728047049,12/5/2024,,12/3/2024,66291,11/30/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088584 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,,FPO0088587,12/3/2024,728047038,12/4/2024,,12/3/2024,66294,11/30/2024,12/5/2024,12/5/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088587 | Facilities Requisition | ServiceNow (service-now.com)
ELECTRONIC SECURITY SOLUTIONS,,,FPO0071336,9/10/2024,728045766,9/10/2024,,12/3/2024,56832,11/27/2024,12/4/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0083245 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,,FPO0071336,2/23/2024,728043428,2/26/2024,,12/4/2024,SCHED00072968,12/1/2024,12/4/2024,12/5/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0071336 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,,FPO0071336,2/23/2024,728043428,2/26/2024,,12/4/2024,SCHED00072969,12/1/2024,12/4/2024,12/5/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0071336 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$8,947.00 ",FPO0073983,4/5/2024,728043912,4/8/2024,,12/5/2024,66319,11/30/2024,12/5/2024,12/6/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0073983 | Facilities Requisition | ServiceNow (service-now.com)
SECURITAS TECHNOLOGY CORPORATE,,"$1,400.00 ",FPO0078353,6/20/2024,728044795,6/20/2024,,12/6/2024,3706960,12/3/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0078353 | Facilities Requisition | ServiceNow (service-now.com)
FSI INDUSTRIES,Quote #7124,"$2,130.12",FPO0088889,12/9/2024,728047105,12/9/2024,12/11/2024,12/30/2024,21313,12/30/2024,12/31/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088889 | Facilities Requisition | ServiceNow (service-now.com)
EVERBRIDGE INC,,$997.00 ,FPO0088895,12/9/2024,728047120,12/10/2024,,12/6/25024,M85161,11/30/2024,12/11/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088895 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$324.00 ,FPO0088900,12/9/2024,728047121,12/9/2024,,12/6/2024,1848,12/6/2024,12/10/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088900 | Facilities Requisition | ServiceNow (service-now.com)
ELECTRONIC SECURITY SOLUTIONS,,$780.00 ,FPO0088984,12/10/2024,728047147,12/10/2024,,12/9/2024,57020,12/9/2024,12/11/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088984 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,"$1,169.10 ",FPO0089014,12/10/2024,728047167,12/12/2024,,12/10/2024,1852,12/10/2024,12/12/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089014 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$449.10 ,FPO0089079,12/11/2024,728047167,12/12/2024,,12/10/2024,1853,12/10/2024,12/12/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089079 | Facilities Requisition | ServiceNow (service-now.com)
KLENZOID INC,,$980.50 ,FPO0089155,12/12/2024,728047285,12/19/2024,,12/6/2024,26485,11/27/2024,12/19/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089155 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,Contract,"$4,375.00 ",FPO0074276,4/11/2024,728043970,4/11/2024,,12/12/2024,66359,12/11/2024,12/12/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0074276 | Facilities Requisition | ServiceNow (service-now.com)
GTO GREASE TRAP SERVICES,,$294.98 ,FPO0089238,12/13/2024,728047253,12/17/2024,,12/13/2024,10020816,12/11/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089238 | Facilities Requisition | ServiceNow (service-now.com)
CONVERGINT,,"$54,702.89 ",,,CIP#1724005,,,12/11/2024,IN00257243,10/23/2024,,12/13/2024,,Sent To AP ,
GENSERVE LLC,,$320.00 ,FPO0089316,12/16/2024,728047251,12/17/2024,,12/11/2024,0456866-IN,8/31/2024,12/17/2024,12/17/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089316 | Facilities Requisition | ServiceNow (service-now.com)
Aire Master,,$299.25 ,FPO0089394,12/17/2024,728047286,12/23/2024,,12/17/2024,2402,12/11/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089394 | Facilities Requisition | ServiceNow (service-now.com)
KELLY SYSTEMS INC,Quote - Repairs 12/17/2024,$516.00,FPO0089434,12/17/2024,728047288,12/19/2024,12/19/2024,1/6/2025,142293,1/3/2025,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089434 | Facilities Requisition | ServiceNow (service-now.com)
KELLY SYSTEMS INC,Quote - New Carrier Order 12/17/2024,$471.25,FPO0089439,12/17/2024,728047287,12/19/2024,12/19/2024,1/6/2025,142294,1/3/2025,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089439 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$550.00 ,FPO0089514,12/18/2024,728047271,12/18/2024,,12/18/2024,1862,12/17/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089514 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$1,445.00 ",FPO0085760,10/17/2024,728046362,10/22/2024,,12/18/2024,10024756,12/18/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0085760 | Facilities Requisition | ServiceNow (service-now.com)
CM3 BUILDING SOLUTIONS INC,,"$2,669.43 ",FPO0079424,7/12/2024,728045071,7/16/2024,,12/18/2024,V2429801,8/22/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0079424 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$4,332.16 ",FPO0089615,12/19/2024,728047298,12/20/2024,,12/18/2024,66203,11/12/2024,12/20/2024,12/20/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089615 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,404.00 ",FPO0089617,12/19/2024,728047344,12/23/2024,,12/18/2024,66204,11/12/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089617 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,404.00 ",FPO0089618,12/19/2024,728047345,12/23/2024,,12/18/2024,66205,11/12/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089618 | Facilities Requisition | ServiceNow (service-now.com)
MAJOR MEDICAL HOSPITAL SVCS,Contract/Agreement,$479.06 ,FPO0084416,9/27/2024,728046079,10/1/2024,,12/23/2024,42011,12/20/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0084416 | Facilities Requisition | ServiceNow (service-now.com)
BIG BOYS CLEANING SERVICE,,"$2,373.50 ",FPO0089789,12/23/2024,728047379,12/26/2024,,12/23/2024,36,12/21/2024,12/26/2024,12/27/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089789 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$2,315.00 ",FPO0089848,12/24/2024,728047380,12/26/2024,,12/23/2024,10024853A,12/19/2024,12/26/2024,12/27/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089848 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,316.25 ",FPO0089903,12/26/2024,728047417,12/27/2024,,12/26/2024,66422,12/24/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089903 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$8,338.48 ",FPO0089908,12/26/2024,728047409,12/27/2024,,12/26/2024,66423,12/24/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089908 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,228.50 ",FPO0089912,12/26/2024,728047416,12/27/2024,,12/26/2024,66424,12/24/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089912 | Facilities Requisition | ServiceNow (service-now.com)
MMSR LLC,2024 - 2025 Snow Removal,"$3,075.00 ",FPO0084565,10/1/2024,728046277,10/15/2024,,12/23/2024,1243,12/23/2024,12/27/2024,12/27/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0084565 | Facilities Requisition | ServiceNow (service-now.com)
MMSR LLC,2024 - 2025 Snow Removal,"$3,545.00 ",FPO0084565,10/1/2024,728046277,10/15/2024,,12/30/2024,1270,12/30/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0084565 | Facilities Requisition | ServiceNow (service-now.com)
BLEJWAS ASSOCIATES INC,,$503.76 ,FPO0090032,12/31/2024,728047461,1/3/2025,,12/30/2024,76789,10/23/2024,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0090032 | Facilities Requisition | ServiceNow (service-now.com)
BLEJWAS ASSOCIATES INC,,"$1,061.04 ",FPO0090033,12/31/2024,728047462,1/3/2025,,12/30/2024,77929,12/17/2024,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0090033 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$754.20 ,FPO0090061,12/31/2024,728047459,1/3/2025,,12/31/2024,1888,12/31/2024,1/3/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0090061 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$800.10 ,FPO0090069,12/31/2024,728047463,1/3/2025,,12/31/2024,1887,12/31/2024,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0090069 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$2,042.31 ",FPO0090114,1/2/2025,728047465,1/3/2025,,1/2/2025,66433,12/31/2024,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0090114 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$702.00 ,FPO0090117,1/2/2025,728047466,1/3/2025,,1/2/2025,66434,12/31/2024,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0090117 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$702.00 ,FPO0090118,1/2/2025,728047467,1/3/2025,,1/2/2025,66435,12/31/2024,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0090118 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,$750.00 ,FPO0084808,10/3/2024,728046125,10/3/2024,,1/3/2025,10023287,11/18/2024,1/3/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0084808 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,"$3,338.00 ",FPO0088280,11/26/2024,728046987,12/2/2024,,11/26/2024,1822,11/25/2024,12/3/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088280 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$197.10 ,FPO0088320,11/26/2024,728046951,11/27/2024,,11/26/2024,1823,11/26/2024,12/2/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088320 | Facilities Requisition | ServiceNow (service-now.com)
LABOV SUPPLY CO INC,Quote # S1554727,$563.08 ,FPO0088338,11/26/2024,728047025,12/4/2024,12/5/2024,12/12/2024,S1554727.001,12/10/2024,12/12/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088338 | Facilities Requisition | ServiceNow (service-now.com)
DELVAL EQUIPMENT CORP,EST27809-01,"$1,800.00 ",FPO0085830,10/18/2024,728046379,10/22/2024,10/24/2024,12/23/2024,INV013298,12/19/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0085830 | Facilities Requisition | ServiceNow (service-now.com)
LIMBACH COMPANY LLC,Quote # P15833,"$2,030.00 ",FPO0086688,10/31/2024,728046528,10/31/2024,11/1/2024,12/4/2024,31385,12/2/2024,12/4/2024,12/24/2024,"PO Approved, Invoice Received, Work hours completed 12/24/2024. Sent to AP",Sent To AP ,FPO0086688 | Facilities Requisition | ServiceNow (service-now.com)
PAUL J GRECO JR,Quote/Proposal R/R 11/05/2024,$890.00 ,FPO0087291,11/8/2024,728046667,11/11/2024,11/11/2024,12/27/2024,SON - Hopper Window,12/7/2024,12/27/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0087291 | Facilities Requisition | ServiceNow (service-now.com)
REMAR TECHNOLOGIES,Quote # RQT0011253,"$1,781.61 ",FPO0086537,10/29/2024,728046511,10/31/2024,11/1/2024,11/25/2024,RINV0013637,11/25/2024,12/3/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0086537 | Facilities Requisition | ServiceNow (service-now.com)
UNION ELECTRIC CONTRACTING CO,Quote # 240832,"$5,740.00 ",FPO0086689,10/31/2024,728046548,11/4/2024,11/5/2024,12/11/2024,206794-60110-1,12/11/2024,12/11/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0086689 | Facilities Requisition | ServiceNow (service-now.com)
WIRELESS ELECTRONICS INC,QUOTE # 24RM241026-02,$234.00 ,FPO0086406,10/28/2024,728046479,10/30/2024,11/5/2024,12/3/2024,S21124438,11/27/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0086406 | Facilities Requisition | ServiceNow (service-now.com)
MARK COSTELLO CO,Quote # MC 619,$745.29 ,FPO0087481,11/13/2024,728046756,11/18/2024,11/20/2024,12/11/2024,0145217-IN,12/11/2024,12/31/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0087481 | Facilities Requisition | ServiceNow (service-now.com)
BLEJWAS ASSOCIATES INC,Quote # 241124MRMHWF,$397.00 ,FPO0088049,11/21/2024,728046855,11/22/2024,11/22/2024,12/9/2024,0079578-IN,12/5/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088049 | Facilities Requisition | ServiceNow (service-now.com)
PURE WATER TECHNOLOGY OF CENTE,Contract,$635.04 ,FPO0079196,7/9/2024,728045014,7/10/2024,,12/2/2024,242886,12/1/2024,12/2/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0079196 | Facilities Requisition | ServiceNow (service-now.com)
MED PAT INN-PHONE,Quote # SQ-241121-0031061,$392.70 ,FPO0088551,12/3/2024,728047045,12/5/2024,12/6/2024,12/13/2024,INV-241206-0140641,12/6/2024,12/16/2024,12/16/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088551 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,881.94 ",FPO0088560,12/3/2024,728047046,12/5/2024,,12/3/2024,66287,11/30/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088560 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$7,995.41 ",FPO0088563,12/3/2024,728047015,12/3/2024,,12/3/2024,66288,11/30/2024,12/3/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088563 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$702.00 ,FPO0088578,12/3/2024,728047047,12/5/2024,,12/3/2024,66289,11/30/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088578 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,842.84 ",FPO0088581,12/3/2024,728047048,12/5/2024,,12/3/2024,66290,11/30/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088581 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,053.00 ",FPO0088584,12/3/2024,728047049,12/5/2024,,12/3/2024,66291,11/30/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088584 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$3,762.78 ",FPO0088587,12/3/2024,728047038,12/4/2024,,12/3/2024,66294,11/30/2024,12/5/2024,12/5/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088587 | Facilities Requisition | ServiceNow (service-now.com)
ELECTRONIC SECURITY SOLUTIONS,,"$11,314.36 ",FPO0071336,9/10/2024,728045766,9/10/2024,,12/3/2024,56832,11/27/2024,12/4/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0083245 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,$636.50 ,FPO0071336,2/23/2024,728043428,2/26/2024,,12/4/2024,SCHED00072968,12/1/2024,12/4/2024,12/5/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0071336 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,$629.50 ,FPO0071336,2/23/2024,728043428,2/26/2024,,12/4/2024,SCHED00072969,12/1/2024,12/4/2024,12/5/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0071336 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$8,947.00 ",FPO0073983,4/5/2024,728043912,4/8/2024,,12/5/2024,66319,11/30/2024,12/5/2024,12/6/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0073983 | Facilities Requisition | ServiceNow (service-now.com)
SECURITAS TECHNOLOGY CORPORATE,,"$1,400.00 ",FPO0078353,6/20/2024,728044795,6/20/2024,,12/6/2024,3706960,12/3/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0078353 | Facilities Requisition | ServiceNow (service-now.com)
FSI INDUSTRIES,Quote #7124,"$2,130.12 ",FPO0088889,12/9/2024,728047105,12/9/2024,12/11/2024,12/30/2024,21313,12/30/2024,12/31/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088889 | Facilities Requisition | ServiceNow (service-now.com)
EVERBRIDGE INC,,$997.00 ,FPO0088895,12/9/2024,728047120,12/10/2024,,12/6/25024,M85161,11/30/2024,12/11/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088895 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$324.00 ,FPO0088900,12/9/2024,728047121,12/9/2024,,12/6/2024,1848,12/6/2024,12/10/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088900 | Facilities Requisition | ServiceNow (service-now.com)
ELECTRONIC SECURITY SOLUTIONS,,$780.00 ,FPO0088984,12/10/2024,728047147,12/10/2024,,12/9/2024,57020,12/9/2024,12/11/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088984 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,"$1,169.10 ",FPO0089014,12/10/2024,728047167,12/12/2024,,12/10/2024,1852,12/10/2024,12/12/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089014 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$449.10 ,FPO0089079,12/11/2024,728047167,12/12/2024,,12/10/2024,1853,12/10/2024,12/12/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089079 | Facilities Requisition | ServiceNow (service-now.com)
KLENZOID INC,,$980.50 ,FPO0089155,12/12/2024,728047285,12/19/2024,,12/6/2024,26485,11/27/2024,12/19/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089155 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,Contract,"$4,375.00 ",FPO0074276,4/11/2024,728043970,4/11/2024,,12/12/2024,66359,12/11/2024,12/12/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0074276 | Facilities Requisition | ServiceNow (service-now.com)
GTO GREASE TRAP SERVICES,,$294.98 ,FPO0089238,12/13/2024,728047253,12/17/2024,,12/13/2024,10020816,12/11/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089238 | Facilities Requisition | ServiceNow (service-now.com)
CONVERGINT,,"$54,702.89 ",,,CIP#1724005,,,12/11/2024,IN00257243,10/23/2024,,12/13/2024,,Sent To AP ,
GENSERVE LLC,,$320.00 ,FPO0089316,12/16/2024,728047251,12/17/2024,,12/11/2024,0456866-IN,8/31/2024,12/17/2024,12/17/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089316 | Facilities Requisition | ServiceNow (service-now.com)
Aire Master,,$299.25 ,FPO0089394,12/17/2024,728047286,12/23/2024,,12/17/2024,2402,12/11/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089394 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$550.00 ,FPO0089514,12/18/2024,728047271,12/18/2024,,12/18/2024,1862,12/17/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089514 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$1,445.00 ",FPO0085760,10/17/2024,728046362,10/22/2024,,12/18/2024,10024756,12/18/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0085760 | Facilities Requisition | ServiceNow (service-now.com)
CM3 BUILDING SOLUTIONS INC,,"$2,669.43 ",FPO0079424,7/12/2024,728045071,7/16/2024,,12/18/2024,V2429801,8/22/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0079424 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$4,332.16 ",FPO0089615,12/19/2024,728047298,12/20/2024,,12/18/2024,66203,11/12/2024,12/20/2024,12/20/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089615 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,404.00 ",FPO0089617,12/19/2024,728047344,12/23/2024,,12/18/2024,66204,11/12/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089617 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,404.00 ",FPO0089618,12/19/2024,728047345,12/23/2024,,12/18/2024,66205,11/12/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089618 | Facilities Requisition | ServiceNow (service-now.com)
MAJOR MEDICAL HOSPITAL SVCS,Contract/Agreement,$479.06 ,FPO0084416,9/27/2024,728046079,10/1/2024,,12/23/2024,42011,12/20/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0084416 | Facilities Requisition | ServiceNow (service-now.com)
BIG BOYS CLEANING SERVICE,,"$2,373.50 ",FPO0089789,12/23/2024,728047379,12/26/2024,,12/23/2024,36,12/21/2024,12/26/2024,12/27/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089789 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$2,315.00 ",FPO0089848,12/24/2024,728047380,12/26/2024,,12/23/2024,10024853A,12/19/2024,12/26/2024,12/27/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089848 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,316.25 ",FPO0089903,12/26/2024,728047417,12/27/2024,,12/26/2024,66422,12/24/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089903 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$8,338.48 ",FPO0089908,12/26/2024,728047409,12/27/2024,,12/26/2024,66423,12/24/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089908 | Facilities Requisition | ServiceNow (service-now.com)
